"Site","mean.min.soil.t","mean.max.soil.t","mean.soil.t","mean.min.soil.surface.t","mean.max.soil.surface.t","mean.soil.surface.t","mean.min.air.t","mean.max.air.t","mean.air.t","mean.min.moisture","mean.max.moisture","mean.moisture"
"A1",17.2162162162162,20.4172297297297,18.7656074042793,12.6993243243243,25.5489864864865,17.7118876689189,9.30067567567568,24.2837837837838,15.6274985923423,0.405324324324324,0.425540540540541,0.414115427927928
"A2",16.6824324324324,20.6858108108108,18.5837908220721,11.152027027027,26.7939189189189,16.9692778716216,10.3496621621622,23.0304054054054,15.7314013231982,0.330054054054054,0.357945945945946,0.340536036036036
"A3",15.96875,21.3385416666667,18.4844382957176,11.140625,26.3645833333333,17.0452338324653,10.0381944444444,24.1770833333333,15.9658112702546,0.3195,0.44725,0.389325520833333
"A4",16.4583333333333,19.1440972222222,17.7877061631944,11.2847222222222,24.7048611111111,16.6429217303241,9.36458333333333,23.859375,15.589427806713,0.384638888888889,0.410722222222222,0.395353298611111
"A5",15.7760416666667,19.6180555555556,17.6428493923611,11.5607638888889,23.8524305555556,16.6266456886574,9.71701388888889,23.4704861111111,15.4788953993056,0.415944444444444,0.433083333333333,0.422566261574074
"A6",16.9027777777778,19.2447916666667,18.0244502314815,12.9635416666667,25.0746527777778,17.226978443287,9.77604166666667,25.2378472222222,15.7710322627315,0.384388888888889,0.412472222222222,0.394517361111111
"I1",16.9430147058824,21.8897058823529,19.3150084252451,12.8915441176471,28.9246323529412,18.8063916973039,11.4136029411765,25.2683823529412,17.1640625,0.421558823529412,0.439705882352941,0.429094362745098
"I2",17.3345588235294,21.3933823529412,19.3203507965686,12.2610294117647,27.3272058823529,17.981081495098,11.3474264705882,24.0588235294118,16.9018267463235,0.404029411764706,0.421323529411765,0.411422487745098
"I3",18.6732954545455,22.5710227272727,20.5232599431818,15.03125,26.875,19.7239287405303,12.2329545454545,27.9431818181818,18.5228456439394,0.405727272727273,0.429409090909091,0.41607196969697
"I4",17.5568181818182,19.6193181818182,18.5965317234848,15.0369318181818,23.1505681818182,18.3858013731061,12.03125,27.9602272727273,18.2146957859848,0.402363636363636,0.429863636363636,0.415247159090909
"I5",16.9517045454545,21.5909090909091,19.2091915246212,13.7414772727273,26.8039772727273,18.8599668560606,12.8068181818182,25.7840909090909,18.4380622632576,0.388727272727273,0.417363636363636,0.400870738636364
"I6",17.1649305555556,22.0711805555556,19.5104890046296,12.3854166666667,26.1440972222222,17.9625831886574,11.6822916666667,24.2951388888889,17.1357602719907,0.36825,0.394833333333333,0.378556134259259
"I7",16.4791666666667,22.4288194444444,19.272876880787,13.3333333333333,27.234375,18.8473488136574,11.9027777777778,25.9079861111111,17.74169921875,0.381583333333333,0.408444444444444,0.391481481481481
"N1",15.0489130434783,19.9076086956522,17.3438915307971,9.72554347826087,24.8614130434783,15.9413779438406,8.79076086956522,23.1195652173913,14.834861865942,0.371565217391304,0.397739130434783,0.38357518115942
"N2",15.4266304347826,19.3777173913043,17.2689651268116,10.7065217391304,25.1630434782609,16.2474807518116,9.0679347826087,22.9211956521739,14.9053158967391,0.430565217391304,0.444173913043478,0.437072010869565
"N3",15.1657608695652,18.7255434782609,16.7713994565217,10.633152173913,26.5135869565217,16.4786854619565,9.07880434782609,23.4375,14.9871490036232,0.408565217391304,0.428217391304348,0.416921648550725
"N4",15.1304347826087,18.7228260869565,16.8770946557971,10.7826086956522,23.820652173913,16.2062669836957,8.87771739130435,22.6440217391304,14.7855808423913,0.385173913043478,0.404434782608696,0.392385416666667
"N5",15.304347826087,18.9646739130435,17.0760303442029,11.4076086956522,23.9836956521739,16.5056895380435,9.3695652173913,23.0516304347826,15.1570991847826,0.395521739130435,0.421913043478261,0.407159420289855
"O3",13.9166666666667,17.2045454545455,15.4409327651515,8.60037878787879,25.3030303030303,14.6442155934343,7.49431818181818,21.6458333333333,13.2350654987374,0.349454545454545,0.382515151515152,0.361535984848485
"O4",13.75,17.4044117647059,15.5046721813725,8.82169117647059,22.2555147058824,13.8477519914216,7.75551470588235,20.6158088235294,12.925474877451,0.369147058823529,0.401,0.381347120098039
"U1",12.9526515151515,16.8219696969697,14.7401357323232,8.41098484848485,22.1212121212121,13.5016571969697,6.9469696969697,20.530303030303,12.3436710858586,0.415545454545455,0.437666666666667,0.424315340909091
"U2",14.1306818181818,18.2859848484848,16.0736860795455,8.96022727272727,21.3352272727273,13.9297664141414,7.06439393939394,19.9962121212121,12.4503038194444,0.388393939393939,0.408060606060606,0.395156565656566
